Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2019-09-01,3.2,3.61,1.742,0.1415,9.974872,3.87,0.25,136.0,1.9,98.62,3.6,0.203,56.555,-64.3
2019-10-01,3.1,3.7,1.768,0.1373,9.974872,3.87,3.11,136.9,1.58,98.62,3.6,0.1,65.952,-78.91
2019-11-01,3.0,3.64,1.85,0.1518,9.974872,3.87,-10.69,130.3,1.56,98.62,3.6,0.208,57.787,-57.35
2019-12-01,3.0,3.85,1.978,0.1296,9.973901,3.88,14.82,154.2,1.55,98.68,3.6,0.126,69.77,-51.14
2020-01-01,3.0,3.59,1.83,-0.1378,9.973901,3.88,3.5,155.7,1.59,98.68,3.6,0.253,68.468,-30.0
2020-02-01,3.0,3.6,1.621,-0.2859,9.973901,3.88,4.86,154.6,1.58,98.68,3.6,0.264,73.798,-52.5
2020-03-01,4.1,3.84,1.136,-0.2601,9.902123,3.81,-18.88,129.3,0.08,98.59,3.83,-1.411,93.834,-147.1
2020-04-01,13.4,3.48,1.306,-0.4354,9.902123,3.81,-57.25,88.9,0.05,98.59,3.83,-20.477,92.084,-151.2
2020-05-01,14.2,3.49,1.4045,-0.5111,9.902123,3.81,-25.42,86.2,0.05,98.59,3.83,2.619,110.122,-151.06
2020-06-01,11.8,3.25,1.618,-0.7102,8.938491,3.79,-4.67,116.0,0.08,89.91,13.0,4.615,112.129,-148.9
2020-07-01,11.8,3.07,1.773,-1.0293,8.938491,3.79,-2.14,88.1,0.1,89.91,13.0,1.585,98.657,-116.6
2020-08-01,8.8,3.05,2.035,-1.1039,8.938491,3.79,-10.3,86.8,0.09,89.91,13.0,1.534,120.576,0.5
2020-09-01,8.1,3.04,1.897,-0.9515,9.199209,3.7,2.64,114.4,0.09,93.71,8.8,1.046,117.683,3.45
2020-10-01,7.1,3.04,1.9735,-0.8362,9.199209,3.7,-3.9,97.8,0.09,93.71,8.8,0.673,127.314,2.9
2020-11-01,6.6,2.92,2.036,-0.964,9.199209,3.7,-8.11,114.7,0.09,93.71,8.8,0.268,120.493,1.7
2020-12-01,6.4,2.85,2.193,-1.092,9.371868,3.64,2.27,98.5,0.09,96.56,6.73,-0.243,128.122,1.1
2021-01-01,5.9,2.87,2.31,-1.0379,9.371868,3.64,-2.88,89.7,0.07,96.56,6.73,0.398,140.666,-1.3
2021-02-01,5.6,3.21,2.282,-0.7461,9.371868,3.64,3.04,102.6,0.07,96.56,6.73,0.527,141.838,-0.25
2021-03-01,5.4,3.22,2.49,-0.6363,8.311196,3.53,-3.04,126.7,0.06,86.49,6.23,0.831,146.969,-1.3
2021-04-01,5.2,3.06,2.538,-0.7823,8.311196,3.53,-0.65,127.3,0.05,86.49,6.23,0.319,144.361,0.3
2021-05-01,4.9,3.05,2.558,-0.8618,8.311196,3.53,8.39,131.5,0.05,86.49,6.23,0.451,148.13,-0.13
2021-06-01,4.9,3.09,2.49,-0.88,9.13972,3.5,26.8,142.1,0.08,96.14,5.93,0.778,119.309,3.01
2021-07-01,4.6,2.94,2.579,-1.1798,9.13972,3.5,5.33,130.9,0.07,96.14,5.93,0.939,120.025,1.25
2021-08-01,4.4,3.0,2.5125,-1.0314,9.13972,3.5,2.2,127.1,0.06,96.14,5.93,0.465,115.366,1.0
2021-09-01,4.1,3.14,2.577,-0.8916,9.370118,3.4,10.99,120.7,0.06,97.67,5.07,0.48,107.675,-0.53
2021-10-01,3.9,3.11,2.805,-1.0366,9.370118,3.4,8.85,131.6,0.07,97.67,5.07,0.86,74.642,-0.07
2021-11-01,3.8,3.18,2.7213,-1.0876,9.370118,3.4,10.25,127.5,0.07,97.67,5.07,0.631,62.894,-1.16
2021-12-01,3.6,3.23,2.773,-1.1033,9.494012,3.37,9.65,131.8,0.07,99.07,4.17,0.566,63.861,2.9
2022-01-01,3.5,3.73,2.724,-0.712,9.494012,3.37,9.18,129.1,0.08,99.07,4.17,0.251,49.644,16.25
2022-02-01,3.3,4.28,2.89,-0.7991,9.494012,3.37,11.97,120.6,0.08,99.07,4.17,0.862,44.172,31.58
2022-03-01,3.2,4.88,3.023,-0.4934,9.723912,3.31,22.39,121.8,0.33,101.57,3.8,0.494,-1.561,64.07
2022-04-01,3.1,5.39,3.1413,-0.0078,9.723912,3.31,12.6,116.9,0.33,101.57,3.8,0.272,4.063,110.65
2022-05-01,3.0,5.3,2.97,0.1914,9.723912,3.31,9.21,112.8,0.83,101.57,3.8,0.286,22.273,133.77
2022-06-01,2.9,5.78,2.648,0.6626,9.79664,3.32,21.3,111.7,1.58,102.01,3.63,0.42,13.893,194.22
2022-07-01,2.8,5.23,2.85,0.0934,9.79664,3.32,11.07,99.1,2.32,102.01,3.63,0.69,33.115,220.63
2022-08-01,2.8,5.91,2.729,0.7063,9.79664,3.32,12.2,111.7,2.33,102.01,3.63,0.243,-6.165,231.06
2022-09-01,2.8,6.96,2.369,1.6685,9.836661,3.42,10.09,124.6,3.08,100.77,3.53,0.255,-31.76,246.94
2022-10-01,2.9,7.15,2.7636,1.5309,9.836661,3.42,12.92,112.6,3.08,100.77,3.53,0.361,-6.792,271.52
2022-11-01,2.8,6.66,2.649,1.2356,9.836661,3.42,12.28,116.8,3.83,100.77,3.53,0.258,-0.421,223.18
2022-12-01,2.8,6.7,2.526,1.5672,9.890297,3.48,13.87,106.4,4.33,99.72,3.57,0.136,-4.175,201.02
2023-01-01,2.8,6.37,2.4535,1.259,9.890297,3.48,8.54,116.6,4.33,99.72,3.57,0.482,1.33,167.87
2023-02-01,2.8,7.07,2.586,1.54,9.890297,3.48,5.37,114.5,4.57,99.72,3.57,0.287,-26.922,126.16
2023-03-01,2.8,6.83,2.579,1.1393,9.708416,3.55,14.11,103.6,4.83,96.81,3.5,0.146,7.144,76.19
2023-04-01,2.7,6.89,2.4726,1.2105,9.708416,3.55,11.48,111.9,4.83,96.81,3.5,0.278,18.709,67.45
2023-05-01,2.8,7.1,2.4615,1.4745,9.708416,3.55,7.9,110.3,5.08,96.81,3.5,0.303,10.299,63.07
2023-06-01,2.8,7.17,2.5458,1.614,9.703748,3.6,6.33,121.5,5.08,96.06,3.57,0.24,-29.779,56.64
2023-07-01,2.9,7.33,2.6275,1.5827,9.703748,3.6,9.92,127.7,5.33,96.06,3.57,0.184,-16.959,46.46
2023-08-01,3.0,7.58,2.5284,1.8658,9.703748,3.6,11.54,118.9,5.33,96.06,3.57,0.21,-4.419,48.9
2023-09-01,3.0,7.76,2.613,2.2286,9.78087,3.74,6.75,113.6,5.33,95.84,3.7,0.246,8.662,31.87
2023-10-01,3.1,8.1,2.6614,2.5124,9.78087,3.74,4.48,110.6,5.33,95.84,3.7,0.165,23.774,16.19
2023-11-01,3.1,7.54,2.4938,2.0871,9.78087,3.74,13.49,117.7,5.33,95.84,3.7,0.182,22.514,9.01
2023-12-01,3.1,6.95,2.4145,1.7056,9.83,3.8,6.3,111.0,5.33,95.24,3.73,0.29,17.851,-7.72
